Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"CLG33 (Feb '33)",53.59,-0.88999999999999,53.59,53.59,53.59,54.48,N/A,N/A,2023-01-03
"CLH33 (Mar '33)",53.53,-0.89,53.53,53.53,53.53,54.42,N/A,N/A,2023-01-03
"CLJ33 (Apr '33)",53.48,-0.89,53.48,53.48,53.48,54.37,N/A,N/A,2023-01-03
"CLK33 (May '33)",53.41,-0.89,53.41,53.41,53.41,54.3,N/A,N/A,2023-01-03
"CLM33 (Jun '33)",53.33,-0.89,53.33,53.33,53.33,54.22,N/A,N/A,2023-01-03
"CLN33 (Jul '33)",53.23,-0.89,53.23,53.23,53.23,54.12,N/A,N/A,2023-01-03
"CLQ33 (Aug '33)",53.14,-0.89,53.14,53.14,53.14,54.03,N/A,N/A,2023-01-03
"CLU33 (Sep '33)",53.03,-0.89,53.03,53.03,53.03,53.92,N/A,N/A,2023-01-03
"CLV33 (Oct '33)",52.94,-0.89,52.94,52.94,52.94,53.83,N/A,N/A,2023-01-03
"CLX33 (Nov '33)",52.84,-0.88999999999999,52.84,52.84,52.84,53.73,N/A,N/A,2023-01-03
"CLZ33 (Dec '33)",72.74,19.99,75.11,75.51,72.35,52.75,0,0,"10:09 CT"
"CLF34 (Jan '34)",52.68,-0.89,52.68,52.68,52.68,53.57,N/A,N/A,2023-01-03
"CLG34 (Feb '34)",52.62,-0.89,52.62,52.62,52.62,53.51,N/A,N/A,2023-01-03
"Downloaded from Barchart.com as of 01-04-2023 10:43am CST"
